datetime,open,high,low,close,tick_volume
2014-04-29 00:00:00,1.385180,1.386480,1.385120,1.386260,240
2014-04-29 04:00:00,1.386260,1.387910,1.385910,1.387010,240
2014-04-29 08:00:00,1.387000,1.387030,1.385430,1.385830,240
2014-04-29 12:00:00,1.385820,1.385820,1.380550,1.380710,240
2014-04-29 16:00:00,1.380710,1.381380,1.380580,1.380990,240
2014-04-29 20:00:00,1.381000,1.381490,1.380800,1.381300,240
2014-04-30 00:00:00,1.381290,1.381530,1.380370,1.380610,240
2014-04-30 04:00:00,1.380610,1.381310,1.379720,1.380670,240
2014-04-30 08:00:00,1.380670,1.385740,1.377500,1.384890,240
2014-04-30 12:00:00,1.384880,1.387650,1.384440,1.386870,240
2014-04-30 16:00:00,1.386860,1.387630,1.385640,1.387280,240
2014-04-30 20:00:00,1.387290,1.387440,1.386340,1.386790,240
2014-05-01 00:00:00,1.386800,1.387300,1.386550,1.386970,240
2014-05-01 04:00:00,1.386990,1.388920,1.386920,1.388530,240
2014-05-01 08:00:00,1.388520,1.388710,1.386980,1.387490,240
2014-05-01 12:00:00,1.387470,1.388140,1.386280,1.386650,240
2014-05-01 16:00:00,1.386650,1.387290,1.386350,1.386430,240
2014-05-01 20:00:00,1.386430,1.387090,1.386380,1.386990,240
2014-05-02 00:00:00,1.386980,1.386980,1.385710,1.386120,240
2014-05-02 04:00:00,1.386130,1.386350,1.385180,1.385450,240
2014-05-02 08:00:00,1.385440,1.386710,1.385240,1.386710,240
2014-05-02 12:00:00,1.386720,1.387280,1.381220,1.386390,240
2014-05-02 16:00:00,1.386370,1.388130,1.386030,1.387130,240
2014-05-02 20:00:00,1.387130,1.387430,1.386850,1.387060,240
2014-05-03 00:00:00,1.387060,1.387060,1.387060,1.387060,240
2014-05-03 04:00:00,1.387060,1.387060,1.387060,1.387060,240
2014-05-03 08:00:00,1.387060,1.387060,1.387060,1.387060,240
2014-05-03 12:00:00,1.387060,1.387060,1.387060,1.387060,240
2014-05-03 16:00:00,1.387060,1.387060,1.387060,1.387060,240
2014-05-03 20:00:00,1.387060,1.387060,1.387060,1.387060,240
2014-05-04 00:00:00,1.387060,1.387060,1.387060,1.387060,240
2014-05-04 04:00:00,1.387060,1.387060,1.387060,1.387060,240
2014-05-04 08:00:00,1.387060,1.387060,1.387060,1.387060,240
2014-05-04 12:00:00,1.387060,1.387060,1.387060,1.387060,240
2014-05-04 16:00:00,1.387060,1.387060,1.387060,1.387060,240
2014-05-04 20:00:00,1.387060,1.388380,1.387060,1.387170,240
2014-05-05 00:00:00,1.387160,1.387680,1.386450,1.387490,240
2014-05-05 04:00:00,1.387490,1.388170,1.386940,1.387280,240
2014-05-05 08:00:00,1.387300,1.387800,1.386930,1.387610,240
2014-05-05 12:00:00,1.387610,1.388600,1.387190,1.388340,240
2014-05-05 16:00:00,1.388340,1.388460,1.387410,1.387420,240
2014-05-05 20:00:00,1.387420,1.387800,1.387310,1.387460,240
2014-05-06 00:00:00,1.387460,1.388050,1.387210,1.387990,240
2014-05-06 04:00:00,1.387970,1.393090,1.387560,1.392150,240
2014-05-06 08:00:00,1.392150,1.394420,1.391230,1.393750,240
2014-05-06 12:00:00,1.393760,1.395120,1.392180,1.392370,240
2014-05-06 16:00:00,1.392390,1.393470,1.391950,1.393160,240
2014-05-06 20:00:00,1.393160,1.393180,1.392480,1.392910,240
2014-05-07 00:00:00,1.392910,1.393520,1.392470,1.392480,240
2014-05-07 04:00:00,1.392480,1.393250,1.391550,1.393080,240
2014-05-07 08:00:00,1.393090,1.393200,1.391160,1.392690,240
2014-05-07 12:00:00,1.392670,1.393850,1.391300,1.391680,240
2014-05-07 16:00:00,1.391680,1.392460,1.391170,1.391340,240
2014-05-07 20:00:00,1.391360,1.391390,1.390920,1.391050,240
2014-05-08 00:00:00,1.391050,1.391890,1.390540,1.391640,240
2014-05-08 04:00:00,1.391620,1.392860,1.391010,1.392560,240
2014-05-08 08:00:00,1.392550,1.395950,1.392450,1.394750,240
2014-05-08 12:00:00,1.394750,1.399330,1.384900,1.386370,240
2014-05-08 16:00:00,1.386370,1.387120,1.384770,1.384790,240
2014-05-08 20:00:00,1.384780,1.385080,1.383310,1.384250,240
2014-05-09 00:00:00,1.384270,1.384370,1.383200,1.383820,240
2014-05-09 04:00:00,1.383820,1.384330,1.382330,1.383490,240
2014-05-09 08:00:00,1.383490,1.383530,1.378000,1.378260,240
2014-05-09 12:00:00,1.378260,1.379400,1.375410,1.376230,240
2014-05-09 16:00:00,1.376210,1.376880,1.374510,1.375520,240
2014-05-09 20:00:00,1.375490,1.376100,1.375450,1.375530,240
2014-05-10 00:00:00,1.375530,1.375530,1.375530,1.375530,240
2014-05-10 04:00:00,1.375530,1.375530,1.375530,1.375530,240
2014-05-10 08:00:00,1.375530,1.375530,1.375530,1.375530,240
2014-05-10 12:00:00,1.375530,1.375530,1.375530,1.375530,240
2014-05-10 16:00:00,1.375530,1.375530,1.375530,1.375530,240
2014-05-10 20:00:00,1.375530,1.375530,1.375530,1.375530,240
2014-05-11 00:00:00,1.375530,1.375530,1.375530,1.375530,240
